id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds,team_id
818,Shawn,,,Bradley,,PHI,,23
819,Warren,,,Kidd,,PHI,,23
820,Calbert,,,Cheaney,,WAS,,30
821,Mitchell,,,Butler,,WAS,,30
822,Tito,,,Horford,,WAS,,30
823,Bryon,,,Russell,,UTA,,29
824,Luther,,,Wright,,UTA,,29
825,Darren,,,Morningstar,,DAL,,7
826,Jamal,,,Mashburn,,DAL,,7
827,Lucious,,,Harris,,DAL,,7
828,Popeye,,,Jones,,DAL,,7
829,Eric,,,Riley,,HOU,,11
830,Sam,,,Cassell,,HOU,,11
831,P.J.,,,Brown,,BKN,,3
832,Rex,,,Walters,,BKN,,3
833,Antonio,,,Davis,,IND,,12
834,Allan,,,Houston,,DET,,9
835,Lindsey,,,Hunter,,DET,,9
836,Brian,,,Davis,,MIN,,18
837,Isaiah,,,Rider,,MIN,,18
838,Matt,,,Wenstrom,,BOS,,2
839,Scott,,,Haskin,,IND,,12
840,Gerald,,,Madkins,,CLE,,6
841,Greg,,,Graham,,PHI,,23
842,Ervin,,,Johnson,,OKC,,21
843,George,,,Lynch,,LAL,,14
844,Bob,,,Martin,,LAC,,13
845,Ricky,,,Grace,,ATL,,1
846,Sedric,,,Toney,,CLE,,6
847,Chris,,,Webber,,GSW,,10
848,Gheorghe,,,Muresan,,WAS,,30
849,Richard,,,Petruska,,HOU,,11
850,Kevin,,,Thompson,,POR,,25
851,Adonis,,,Jordan,,DEN,,8
852,Scott,,,Burrell,,CHA,,4
853,Dell,,,Demps,,GSW,,10
854,Evers,,,Burns,,SAC,,26
855,Aaron,,,Williams,,UTA,,29
856,Stanley,,,Jackson,,MIN,,18
857,David,,,Wesley,,BKN,,3
858,Chris,,,King,,OKC,,21
859,Doug,,,Edwards,,ATL,,1
860,Harold,,,Ellis,,LAC,,13
861,Malcolm,,,Mackey,,PHX,,24
862,Ben,,,Coleman,,DET,,9
863,Roy,,,Marble,,DEN,,8
864,Reggie,,,Jordan,,LAL,,14
865,Chad,,,Gallagher,,UTA,,29
866,Bo,,,Outlaw,,LAC,,13
867,Bill,,,Edwards,,PHI,,23
868,Andrew,,,Gaze,,WAS,,30
869,Alphonso,,,Ford,,OKC,,21
870,Andres,,,Guibert,,MIN,,18
871,Skeeter,,,Henry,,PHX,,24
872,Chris,,,Jent,,HOU,,11
873,Geert,,,Hammink,,ORL,,22
874,Jalen,,,Rose,,DEN,,8
875,Reggie,,,Slater,,DEN,,8
876,Askia,,,Jones,,MIN,,18
877,Donyell,,,Marshall,,MIN,,18
878,Howard,,,Eisley,,MIN,,18
879,Grant,,,Hill,,DET,,9
880,Anthony,,,Miller,,LAL,,14
